word,pos,meaning,sentence,sentence_meaning
mentor,n.,导师；顾问,He fed on the great ideas of his mentor,
tutor,n.,家庭教师；（英国大学或者学院的）导师,She was my personal tutor at university,
lecturer,n.,讲师,I have to submit this report to my lecturer,
assistant,n.,助理；助手,Her assistant was accused of theft and fraud by the police,
candidate,n.,候选人；求职者；考生,They are interviewing candidates for the positions of sales manager,
degree,n.,学位；程度,He left without completing his degree,
qualify,v.,（使）有资格、有权,His knowledge and skill qualify him for the job,
certify,v.,证明；颁发专业合格证书,I certify on my honor that she is innocent,
"license, licence",n.,执照；许可证,His driving license was suspended for three months,
permit,n.,许可证,You can't work here without a work permit,
diploma,n.,毕业文凭,My cousin won her diploma in only three years,
diplomat,n.,外交官；善于交际的人,"As a natural diplomat, he found it easy to get the two sides to reach an consensus",
ambassador,n.,大使,He was appointed ambassador to France,
pupil,n.,小学生；瞳孔,"As a girl, she had been a model pupil",
graduate,n./v.,毕业生；毕业,Preference will be given to graduates in journalism,
ceremony,n.,典礼；礼节,What the old headmaster said at the graduation ceremony dwells in my mind,
bachelor,n.,学士；单身汉,To do the job you must have at least a bachelor's degree in engineering,
master,n./v.,硕士；大师。精通；控制,They are able to master the situation,
doctor,n.,博士；医生,He is a doctor of philosophy,
fresher,n.,[英]（大学）一年级新生,"Only a few months ago, the freshers started their exciting life at university",
sophomore,n.,[美]（大学或高中）二年级学士,My sophomore year at college was perhaps the most remarkable year of my life,
junior,n./adj.,[美]（大学或高中）三年级学生；较年幼者。青少年的；级别（或地位）较低的,"At that time, I was a sophomore and Miss Yang was a junior",
senior,n./adj.,[美]（大学或高中）毕业班学士；较年长者。成人的；资深的,The seniors defeated the juniors by 4-2,
alumni,n.,[alumnus 的复数形式]毕业生；校友,My alumni and alumna are present at my birthday party,
campus,n.,（大专院校的）校园,The campus covers an area of about 1.37 square kilometers,
orientation,n.,迎新会；方向,The university will hold a one day orientation session for freshmen,
platform,n.,平台；讲台,He spoke to us from a platform in the lecture hall,
"coed, co-educational",adj./n.,男女同校的。（男女同校的大学生中的）女生,A nationwide research is under way for typical coeds,
register,v./n.,登记；注册。登记表；注册簿,You must register for the tax,
roster,n.,花名册；登记表；执勤表,I am on the roster for tomorrow night,
"enrol, enroll",v.,登记；注册；加入,They enrolled that freshman as a member of the club,
matriculation,n.,注册入大学,Matriculation was increasing in many universities in the 1990s,
accommodation,n.,住处；食宿招待,The authorities must provide suitble accommodation for the family,
dorm,n.,宿舍,Are you going to live in the student dorm or at home?,
dining hall,n.,食堂,This is my first time to eat in your dining hall,
canteen,n.,水壶；[英]食堂,This canteen is much frequented by students,
"laboratory, lab",n.,实验室；研究室,It is important to check when the laboratory can do the tests,
experiment,n.,实验；试验,We will have an experiment in the laboratory this afternoon,
data,n.,[datum 的复数形式]数据,The data should updated once a week,
quantity,n.,数量,Our company is more concerned with quality than with quantity,
quality,n.,质量,It is a bad year for films in terms of quality rather than quantity,
library,n.,图书馆；个人收藏,I went to the library and return your books for you,
literature,n.,文学；文学作品；文献,Literature stands related to men as science stands to nature,
article,n.,文章,The editor asked him to contribute a weekly article on european affairs,
author,n.,作者；作家,The author's style is subtle and elegant,
tale,n.,故事；传说,She looks like a princess in a fairy tale,
fiction,n.,小说；虚构；杜撰,The writer poignantly described her own mothering experiences in her fiction,
story,n.,故事；小说；（尤指口头的）叙述,Her little sister often asks her to retell the story,
diary,n.,日记；日记簿,Her diary is full of entries about him,
poetry,n.,诗,"I myself enjoy cinema, drama, poetry and travelling",
magazine,n.,杂志；期刊；弹夹,This magazine has a large circulation,
journal,n.,日报；周报；（尤指专门科学的）杂志；日志,This study was published by two journals of repute,
coverage,n.,新闻报道；覆盖范围,The wedding of the two movie stars got massive media coverage,
bibliography,n.,参考书目,The bibliography is a very important part of a paper,
"encyclopedia, encyclopaedia",n.,百科全书,I know someone who is a walking encyclopedia. She knows about everything,
biography,n.,传记,One of my friends likes to read biographies of great men to enhance himself,
documentary,n./adj.,纪录片；记录的,The documentary left me in a state of shock,
series,n.,连续的；一系列；系列节目,She published a new book series for English learners,
record,n.,记录；履历,The subjects in the research were asked to keep a record of everything they ate for a week,
file,n./v.,档案；把...归档,The police have a file on him,
profile,n.,概述；人物简介；侧面轮廓,Her beautiful profile impressed the judgers very much,
draft,n.,草稿；汇票；起草,"When the first draft was completed, she took a break",
sketch,n./v.,概略；概述,I have figured out a basic sketch of a plan,
brochure,n.,小册子,I'll send the company brochure right away,
manual,n.,使用手册；指南；手工的,The maintenance manual gives diagrams and instructions for repairing your car,
frame,n.,框架；眼镜框；构架,The house has a wooden frame which is braced with bricks,
index,n./v.,指数；索引；为...编索引,The index is arranged in alphabetical order,
"catalogue, catalog",n.,目录,You can look for the book in the library catalogue,
category,n.,种类；类别；范畴,There are different categories of books in the library,
inventory,n.,库存；详细目录,We made an inventory of everything in the old museum,
content,n./adj.,内容；目录；含量。满足的,The calorie content in a regular coke is very high,
context,n.,上下文；语境；背景,We should judge the past in its historic context,
list,n./v.,一览表；目录。列举；把...列表,The results are listed in numerical order,
chapter,n.,（书的）章；（人生或历史的）重要时刻,Steamboat travel opened a new chapter in America's exploration of the west,
volume,n.,卷；体积；容积；音量,The volume of this container is one cubic meter,
reel,n.,卷轴；卷筒；一卷胶卷,I put a new reel of film in my camera,
subject,n.,科目；主题；实验对象,"In the car, she reverted to the subject which is uppermost in her mind",
object,n./v.,物体；目标。反对,He strongly objects to getting up early,
major,n./v./adj.,[美]主修科目；专业。主修。主要的,She majored in international economy at university,
minor,n./adj.,[美]辅修科目。不严重的,"My major is English, but I also have a minor in history.",
sociology,n.,社会学,"A few years ago, sociology was the most popular subject for undergraduates",
politics,n.,政治学；政治；政治事务,He closed down the business and went into politics,
economics,n.,经济学,"Whenever they start talking about economics, I feel totally out of my depth",
marketing,n.,市场营销,This company puts a high value on marketing,
accounting,n.,会计,A company's accounting records must be open for inspection at all times,
audit,n./v.,审计。旁听；审计,They worked all day without a break and finished the audit on time,
statistics,n.,统计学,There's a compulsory course in statistics,
psychology,n.,心理学；心理特征,The professor has considerable expertise in studying a criminal's psychology,
philosophy,n.,哲学,He has a master degree in philosophy,
logic,n.,逻辑学；逻辑,Socrates laied the foundations of logic,
biology,n.,生物学；生命机理,Biology is the study of living things,
physics,n.,物理学,He is one of top students in physics,
chemistry,n.,化学,I am not good at organic chemistry,
agriculture,n.,农业；农学,"In the past, agriculture located a family to a place",
logistics,n.,物流；后勤,I have a good command in the procedures of logistics,
geography,n.,地理学；地形；地势,I'd like to introduce you to my geography professor,
history,n.,历史；历史学,China is a oriental country with a long history,
engineering,n.,工程；工程学,The percentage of girls in engineering has increased in recent years,
mechanics,n.,力学；机械学,He is studying the mechanics and now is learning all the parts of an engine,
electronics,n.,电子学；电子器件,That country wants to increase tariffs on items such as electronics,
"maths, mathematics",n.,数学,The teacher will test us in maths,
arithmetic,n.,算数,Arab brought arithmetic and algebra to the fore once again and placed it almost on a par with geometry,
geometry,n.,几何学,"Geometry is a piece of cake for me, but a big headache for my friend Clare",
algebra,n.,代数,The young boy is good at algebra,
calculus,n.,微积分；结实,Calculus is a difficult course for most students,
plus,prep./adj.,加上。正数的；在零以上的,Intelligence plus wit makes for an interesting person,
sum,n.,总和；总数；金额,The man has decided to give his son a huge sum of money for his independence from the family,
total,adj./n.,总的；全部的。总数,"In total, over 100, 000 people were killed in the tsunami and a great many of people were homeless",
merger,n.,合并；并归,The proposed merger between two of the largest software companies has been passed,
equation,n.,相等；平衡；综合体；方程式；等式,"If you're trying to lose weight in a healthy way, exercise should be part of the equation",
identical,adj.,同一的,This is the identical hotel we stayed at last year,
minus,adj./prep.,负的；零以下的；减去,The temperature is minus ten degrees now,
subtract,v.,减去；减,The littel girl has begun to learn to add and subtract,
multiply,v.,乘；使相乘；使成倍增加；繁殖,Friendships multiply joy and divide grievance,
divide,v.,除以；除,Twelve divided by three is four,
dividend,n.,被除数,"In twelve divided by two, twelve is the dividend",
remainder,n.,余数；剩余部分,Divide four into thirteen and the remainder is one,
rational,n./adj.,有理数；（数、式等）有理的,A rational number can be expressed as a ratio of two integers,
parameter,n.,参数；起限定作用的因素,Political descent is a parameter of modern life,
variable,n./adj.,变量；可变因素。易变的,There are some variables that can change our plan,
even,adj./adv.,均匀的；偶数的；相等的。甚至,"He won the first round and I won the second, so our scores are even now",
odd,adj.,奇数的；古怪的,"One, three, five, and seven are odd numbers",
mean,n./adj.,平均数；平均值。平均的,The professor asked the students to take 200 values and calculate the mean,
double,adj./n./v.,两倍的。两倍数；两倍量。使加倍,Many things now cost double what they did a couple of years ago,
triple,adj./n./v,三倍的；三重的。三倍数；三包两。使增至三倍,His income triped,
quadruple,adj./n./v.,四倍的。四倍,Our profits have quadrupled in the last decade,
multiple,n./adj.,倍数。多样的，数量多的,Eighteen is a multiple of six,
maximum,n.,最大值；最大限度,The maximum load for this truck is ten tons,
minimum,n.,最小值；最小限度,You must get a minimum of 60 questions right to pass the test,
approximately,adv.,大约,The yelk contains all the fat and approximately half the protein of the egg,
chart,n.,图；图表；海图,This chart displays the links connecting these groups,
graph,n.,图表；图,They made a graph of how cold the weather was everyday for a month,
diagram,n.,图表；示意图；图解,The teacher draws a diagram showing how the plant seedling bends towards the sunlight,
table,n.,表格；桌子,We should create a table for the sales data,
matrix,n.,矩阵；铸模,She can not find the matrix for the competition,
rectangle,n.,长方形；矩形,the plate itself is a small rectangle made of gold,
cube,n.,立方体；立方；三次幂；立方的东西,She dropped a cube of sugar into her coffee and stirred it with a spoon,
angle,n.,角度；脚,The temple is especially beautiful to look at from this angle,
triangle,n.,三角形；三角关系,The three places form a triangle,
diagonal,adj./n.,斜纹的；对角线的。对角线；斜纹织物,The two diagonals of a square cross in the center,
straight,adj./adv.,直的；笔直地；直接,The old lady closed her book and looked straight at me,
circle,n.,圆,The circle is ten centimeters in diameter,
round,adj./n./adv.,圆的。绕圈；一轮。环绕,He went round and round but could find no way to get out of the room,
dot,n./v.,点。在...打点,"On the map, convenience stores are marked by a red dot",
sphere,n.,球体；球状物；范围；领域,We move in different social sphere,
cone,n.,圆锥体；锥形物,The police have sectioned off the road with traffic cones,
extent,n.,广度；范围；程度,No one cares about the extent of his debts,
width,n.,宽度,In front of the mountain is a river of great width,
length,n.,长度,The room is 7 meters in length and 5 meters in breadth,
decimal,adj./n.,小数的；十进制的。小数,The decimal system is widely used,
"percent, per cent",n.,百分之...,I am 100 percent in agreement,
proportion,n.,比例,This door is very narrow in proportion to its height,
rate,n.,比率；率；速度,The rate of inflation decreased to 5 percent last year,
ratio,n.,比,The ratio of 3 to 9 is the same as that of 9 to 27,
fraction,n.,分数；小部分；片段,She spends only a fraction of her earnings on clothes,
scale,n./v.,刻度；规模。攀登 scales 天平；鳞,A machine for weighing people has a scale from one pound to 300 pounds on it,
ounce,n.,盎司；少量,An ounce of prevention is worth of a pound of cure 预防胜于治疗,
density,n.,密度；浓度,The population density of big cities is incresing year by year,
Fahrenheit,adj.,华氏温标的,Water freezes at 32 degrees Fahrenheit,
mercury,n.,水银；水星,The mercury stood at nearly 40 degrees C,
battery,n.,电池；（物品的）一组,You can charge your car battery at this car park,
volt,n.,伏特,"A child miraculously survived a 25, 000 volt electric shock",
radiate,v.,辐射；发散；从中心向四周散开,Four avenues radiate from the square,
emit,v.,散发 (光、热、气等)；发出（声音）,The tail exhaust pipe of the car emitted poisonous smoke,
transparent,adj.,透明的；易看穿的,Not all glass is transparent,
hollow,adj.,中空的；空心的,"The trunk of this tree looks solid, but in fact, it is hollow",
ozone,n.,臭氧,The ozone layer protects the earth from most of the sun's ultraviolet radiation,
gravity,n.,地球引力；重力,Enormous energy is needed to launch a spacecraft against gravity,
friction,n.,摩擦力；摩擦；不和；矛盾,"In designing this device, it is necessary to reduce friction as much as possible",
eccentric,adj.,不同心圆的；古怪的,The old lady has some eccentric habits,
displace,v.,移动...的位置；取代；代替,A bone in his knee was displaced when he crashed against another player,
boil,v./n.,煮沸。沸点,The watched pot never boils 性急烧水不沸,
melt,v.,（使）融/熔化,Iron melts at a great heat,
dissolve,v.,（使）溶解；解散,Sugar dissolves in water,
rust,v./n.,（使）生锈。锈；铁锈,"If you leave your metal tools outside in the rain, they will rust",
ferment,v./n.,（使）发酵；骚动。酶；发酵；动乱,The whole country was in a state of ferment,
dilute,v./adj.,冲淡；稀释。稀释了的；减弱了的,The nurse diluted the drug with saline water,
acid,n./adj.,酸。酸的；讽刺的；尖刻的,"When she spoke, her tone was like acid",
noxious,adj.,有害的,Increasing tax on petrol would encourage people to drive cars with fewer noxious emissions,
static,adj.,静态的,This cloth material has static electricity,
inert,adj.,无生气的；惰性的；不活泼,Helium and neon are inert gases,
inherent,adj.,内在的；固有的,Polarity is inherent in a magent,
formula,n.,公式；方程式；原则；配方；分子式,The formula for water is H2O,
component,n.,成分；组成,Regular exercise is one of the key components of a healthy lifestyle,
compose,v.,组成；构成；创作；写,Water is composed of hydrogen and oxygen,
mixture,n.,混合物,her new play is mixture of sadness and humour,
blend,n./v.,混合；（使）交融。混合物,His manner was a blend of friendliness and respect,
theory,n.,理论；学说,There are many theories about the origin of the universe,
empirical,adj.,经验主义的；以实验为依据的,His thesis is not very convincing for lack of empirical evidence,
practical,adj.,实际的；有用的；务实的；心灵手巧的,He is very practical. He can make or mend almost anything,
doctrine,n.,学说；教义；信条,The doctrine is unchangable,
principle,n.,原则；（科学）原理,A bicycle and a motorcycle are built on the same principle,
discipline,n.,纪律；训练,It takes years of discipline to become a ballerina,
term,n.,期限；术语；[英]学期,The protocol would have many positive results in the long term,
semester,n.,学期,There are two semesters in a year,
timetable,n.,时间表；课程表,There are eight English classes listed on this term's timetable,
schedule,n.,日程安排；[美]时刻表,The next thing on my schedule is to buy some milk in the supermarket,
deadline,n.,截止日期,I hope we can finish this before the deadline,
course,n.,课程,She is currently doing a business studies course at Leeds,
lesson,n.,一堂课；课程；教训,The lesson from your failure is perhaps a broader one,
curriculum,n.,课程；全部课程,The staff should work together to revise the school curriculum,
seminar,n.,研讨会；讨论课,Why didn't you come to yesterday's seminar?,
forum,n.,论坛；讨论会；公开讨论广场,The forum is now open to all small and medium-sized enterprises,
syllabus,n.,教学大纲,The syllabus changes every year,
system,n.,系统；体系；制度,The new system is still in the planning stage,
rudimentary,adj.,基本的；粗浅的,He only has a rudimentary knowledge of the dinosaurs,
basic,adj.,基本的；基础的,The government increased prices on some basic commodities like meat and dairy products,
fundamental,adj.,基础的；基本的；根本的,Another fundamental consideration in the conception of a design is function,
elementary,adj.,基本的；初级的,Their course of study includes elementary hygiene and medical theories,
profound,adj.,（影响）深刻的，深远的；见解深刻的,His brother's words have had a profound effect on him,
superficial,adj.,表面的；外表的；肤浅的,He is too superficial to appreciate great literature like this,
surface,n.,表面；地面；水面,The surface of the bamboo feels so smooth,
compulsory,adj.,强制的,Britain did not introduce compulsory primary education until 1880,
prerequisite,n./adj.,必备条件。必备的,Training is a prerequisite for competence,
selective,adj.,选择性的,The man seem to have a very selective recall of past events,
elective,adj.,选择性的,"Besides the required courses, I'm taking an elective in computer science",
assignment,n.,作业；任务,A brave fighter never shrinks from danger when executing an assignment,
submit,v.,提交；服从,I hope you can submit your term papers before the deadline,
preview,n./v.,预习,Please do the preview and review work,
review,n./v.,回顾；复习,We must hold a careful review of historical events,
revise,v.,修订；修改,The writer was revising what he had written,
inspect,v.,检查；检阅；视察,The mayor will inspect our school tomorrow,
consult,v.,请教；查阅,"In this case, I recommended that you consult your doctor",
skim,v.,掠过；擦过；略读,It's important for you to skim through this article,
scan,v./n.,细看；浏览；扫描,I just had a quick scan through your book again,
"scrutinise, scrutinize",v.,仔细检查,The jeweler scrutinized the ruby for flaws,
recite,v.,背诵；朗诵,Each child had to recite a poem in class,
dictate,v.,让（某人）听写；命令；强行规定,The English teacher dictates to the class every other week,
"examination, exam",n.,考试；抽查,Did you have to get through an entrance examination,
test,v./n.,测试；检验,The scientist have already experimented at test sites,
quiz,n.,小测验,The quiz was a good opportunity for him to exhibit his knowledge,
presentation,n.,陈述；表演；演出,There is a presentation of our new play tonight,
"plagiarise, plagiarize",v.,抄袭,It is not a viable option to plagiarize someone's work,
copy,n./v.,复制品。抄写；复制,This painting is a copy of the one in the museum,
print,v./n.,打印。印刷品；照片,Print these words in Italics across the top of the page,
thesis,n.,论文,"To be specific, the argument in your graduation thesis is logical",
essay,n.,短文；小品文,This essay represents a considerable improvement on your recent work,
paper,n.,论文；纸,She is working hard at her term paper in the library,
dissertation,n.,专题论文；（尤指）学位论文,Each student will have a supervisor to advise on the writing of a dissertation,
project,n.,（大中学生的）专题研究；项目；方案,It is an elaborate project that applies to many purposes,
heading,n.,标题；主题,The heading was in large print,
outset,n.,开端；开始,The science fiction fascinates the readers from the outset,
outline,n.,概要；轮廓,This document provided a broad outline of the country's development after the World War II,
point,n.,点；要点,That is not the point in question,
gist,n.,主旨；要点,He cannot understand the gist of their argument,
opinion,n.,看法；评价,She asked her friends' opinions about her plans,
introduce,v.,介绍；引进,Britain did not introduce complusory primary education until 1880,
reference,n.,参考；推荐函；提及；涉及,This book is for reference only,
cite,v.,引用,I'll just cite some figures for comparison,
elicit,v.,引出；探出；套出,"At last, we elicited some important information from him",
quote,v.,引用；引述；报（价）,The author frequently quoted Shakespeare,
extract,n.,摘录,The following extract is taken from his commentary on the movie,
abstract,n./adj./v.,摘要。抽象的。提取；把...抽象出,Iron is abstracted from ore,
summary,n.,摘要；概要,The professor asked the students to make a summary of the reading material,
assume,v.,假定；设想；承担（责任）；取得（权力）,,
presume,v.,假定；假设；料想,"From his words, I presumed that he had been in France for several years",
suppose,v.,假定；认为,Let us suppose another planet with conditions similar to those on the earth,
hypothesis,n.,假说；假设,This is only a scientific hypothesis that has not been proved by experiments,
postulate,v./n.,假定；假设,The experts had postulated that this disease can be cured in a couple of decades,
speculate,v.,推测,The doctors could only speculate that he died of cancer,
predict,v.,预测,It is virtually impossible to predict the future accurately,
perceive,v.,感知；察觉；意识到,I perceived that it was not possible to make her change her mind,
detect,v.,察觉；发觉；侦查出,The man is responsible for detecting some kind of weak signals,
discern,v.,察觉出；分辨出,The child find it hard to discern between red and green,
"recognise, recognize",v.,认识；辨认出,"I recoginized Peter at once, although I hadn't seen him for many years",
conscious,adj.,意识到的；有知觉的,He was conscious of his guilt,
reckon,v.,估计；期望；认为,We had reckoned on your support,
deem,v.,认为；相信,The board deemed it urgent that these files be printed right away,
imply,v.,暗指；意味着,The way he talked implied that he was not willing to accept the agreement,
deliberate,v./adj.,深思熟虑；仔细考虑。审慎的,She deliberated the question before she made an answer,
represent,v.,代表；象征,A committee has been elected to represent us,
insist,v.,坚持；坚决认为（主张或要求）,We insist on self-reliance,
persist,v.,坚持不懈；持续存在,"On the top the massive mountains, snow persists throughout the year",
understand,v.,懂得；理解,What human beings have understood is just the tip of the iceberg,
comprehend,v.,理解；领悟,You can say you have comprehended a word if you can use it correctly and effectively,
"analyse, analyze",v.,分析,We should analyze the cause and the effect of this event,
diagnose,v.,判断；诊断,We can use a test to diagnose a variety of diseases,
infer,v.,推断；推理,"From your smile, I infer that you like this drink",
deduce,v.,演绎；推论,We can deduce a conclusion from this premise,
conclude,v.,推断出；得出结论；（使）结束,What do you conclude from his explanation?,
analogy,n.,类比；类推,The man drew an analogy between the human skin and a brick wall,
compare,v.,比较；把...比作；比得上,Your knowledge cannot yet compare with his,
contrast,n.,对比；明显的差异,There is a great contrast between good and evil,
overlap,v.,与...复叠；（与...）部分相同,The plots and descriptions in these two novels largely overlap,
contradiction,n.,矛盾；不一致；反驳,Your attitude is in contradiction to your character,
disagree,v.,有分歧；不同意,I strongly disagree with this immoral approach to science,
differ,v.,不同、相异,The two theories differ from each other in many ways,
diverse,adj.,不一样的；多种多样的,The original meaning of this word has become more diverse over time,
nuance,n.,细微差别,The investigator watched the suspect's face intently to catch every nuance of expression,
inductive,adj.,归纳的；诱导的,You need to infer by inductive reasoning,
detail,n.,细节；（画等的）细节,No detail was too small to escape the detective's attention,
thorough,adj.,彻底的；详尽的,A thorough brushing helps to protect your teeth and gums,
example,n.,例子；榜样,Her diligence has set an example to the others,
instance,n.,实例；情况；场合,Nowadays we can read many instances of good people and good deeds in the press,
confirm,v.,证实；确保；巩固,Her new film confirmed her as one of our leading directors,
demonstrate,v.,示范；演示；证明,He demonstrated how to use the new machine,
illustrate,v.,（用图等）说明；给（书）加插图（或图表）,The book was illustrated with color photographs,
manifest,v.,显示；表明,Her bravery manifests itself in times of difficulty,
prove,v.,证明；结果是,He has proved his loyalty in the battle,
determine,v.,决定；下定决心；查明,He determined to move to another city and start a new life,
decide,v.,决定,Don't decide on important matters too quickly,
resolve,v.,决心；决定；（使）分解为；解决,She resolves that she will never eat junk food,
survey,n./v.,民意调查；对...进行民意调查,A recent survey of public opinions shows that many people are worried about the rising house prices,
research,n.,调查；探索,It is a good idea to do some research before you buy a house,
observe,v.,观察；观测；注意到,I observed a stranger enter my neighbor's home,
"inquire, enquire",v.,询问；调查,We must inquire into the matter,
query,n./v.,疑问；询问；怀疑；询问,I have serveral queries about the work you give me,
questionnaire,n.,调查表；调查问卷,"We have sent out nealy 3000 questionnaires, but only a third of them were returned",
achieve,v.,实现；到达,"In many fields, women have yet to achieve the equal participation in policy making processes",
accomplish,v.,达到（目的）；完成,"Though the task was challenging, we managed to accomplish it on time",
attain,v.,获得；达到,Great efforts are needed before we can attain our goal,
credit,n.,赊购；学分；信任,I need three more credits to graduate,
score,n.,得分、成绩,Now the score in the football game is one one,
mark,n./v.,分数；标记；标志着；给...打分；在...上做记号,It is dangerous to swim beyond this mark,
grade,v./n.,给...分等级：等级；成绩等级,This grade of jade can be bought at a fairly low price,
rank,n./v.,等级；排；列；给...评级；位列,There are people of all ranks and classes,
row,n.,一排；一行,A row of children are standing in front of a row of chairs1,
queue,n./v.,行列；队列；排队等候,We should join the queue inside the bank,
grant,v.,授予；准予；承认,"I grant that book gives us something insights into human nature, but generally speaking, it is boring",
praise,n./v.,赞美；赞扬,American reviewers are lavish in their praise of this movie,
appreciate,v.,赏识；感激；意识到,We appreciate your efforts for the development of the company,
feedback,n.,反馈；反应,We'd appreciate it if you gave us some feedback on our new product,
underestimate,v.,低估,Don't underestimate the difficulty of this job,
overestimate,v.,高估,Most customers overestimated the price of the overcoat,
apply,v.,申请,My cousin applied to four universities and was accepted by all of them,
fellowship,n.,研究生奖学金,"As a student, he was awarded the fellowship at Harvard",
scholarship,n.,奖学金；学问；学识,"For a few, scholarships were their main source of support",
reward,n./v.,报答；赏金；报答,Virture is its own reward,
award,n.,奖；奖品,The novice writer is especially thrilled with this award,
prize,n./v.,奖赏；珍视,We prize honor above money,
fee,n.,酬金；费用,A higher fee doesn't necessarily mean a better course,
architecture,n.,建筑风格、建筑学,The forbidden city is one of the world's greatest works of architecture,
erection,n.,建筑、建造,The erection of the building took several years,
structure,n.,建筑物；结构,Most linguists would say they were concerned primarily with the grammatical structure of languages,
construct,v.,建造,They are planning to construct a new highway,
obstruct,v.,阻塞、妨碍,The road was obstructed by a fallen tree,
establish,v.,建立；设立,The minister established a commission to suggest improments in the educational system,
build,v.,建造、开发,We should study hard to build a better future for ourselves,
found,v.,创建、创办,The rich businessman founded a hospital and a school in the town where he was born,
concrete,n./adj.,混泥土/具体的、混凝土制的,The statue rests on a concrete base,
steel,n.,钢铁,Hot steel is quenched to be hardened,
stability,n.,稳定（性）,The government has taken measures to maintain the stability of prices,
site,n.,地点,The construction site of a new shopping mall was a hive of activity 一片繁忙的景象,
venue,n.,发生地点、举行场所,They have already told us the venue for tomorrow's match,
landmark,n.,地标,He oriented himself by finding a familiar landmark,
situated,adj.,位于...的,The zoo is situated in the suburbs,
locate,v.,放置；建立；找到,The new hospital will be located near college,
reside,v.,居住,The city in which I reside is very beautiful,
inhabit,v.,居住于,Thoughts inhabit my mind,
migrate,v.,迁徙；移居,More and more people migrate from one city to another to seek fortune,
settle,v.,解决；在...定居；使定居,They moved the local people and settled them in another place,
dwelling,n.,住所,He has changed his dwelling recently,
skyscraper,n.,摩天大楼,The skyscraper towers into the sky,
villa,n.,乡间别墅；[英]度假别墅,I want to buy a villa outside the city,
mansion,n.,宅第；公馆,This old mansion became a hospital,
apartment,n.,公寓,I have an apartment in downtown Manhattan,
flat,n.,[尤英]单元房；公寓,She is buying a flat close to her office,
hostel,n.,廉价招待所,We found a happy crew of foreign students in the youth hostel,
lodge,v./n.,租住/小屋；度假屋,Where we lodge is the problem,
hut,n.,小屋、棚屋,The hut was made out of pieces of wood,
cabin,n.,小木屋、（船上的）小舱,They lived in a little log cabin in the mountains,
cellar,n.,地窖、地下室,The celler floods whenever it rains heavily,
shed,n./v.,简易房、棚/流、洒、摆脱,He built a bicycle shed,
cottage,n.,村舍、小屋,The cottage could accommodate up to six people,
nursery,n./adj.,托儿所、托儿所的,The nursery teacher made the children sit bold upright 笔直坐,
cradle,n.,摇篮、发源地,Ancient Greece was the cradle of western civilization,
shelter,n./v.,庇护所；掩蔽/庇护；遮蔽,These plants must be sheltered from direct sunlight,
block,n.,街区、障碍、一块,Walk two blocks down the street and go pass the city hall,
grid,n.,栅栏、网格、输电网,The city's streets form a grid,
aisle,n.,走廊、过道,Don't stand in the aisle,
porch,n.,门廊,A pigeon perched on our porch railing 一只鸽子栖息在我们门廊的栏杆上,
corridor,n.,走廊、通道,The corridor leads to the headmaster's office,
stair,n.,楼梯,The child was sitting on the bottom stair,
staircase,n.,（建筑内的）楼梯,Only the staff members were allowed to use the staircase,
"storey, story",n.,楼层,There's a nice-story apartment building next to the park,
layer,n.,层,There is a layer of dust on the table. Clean it before the guests arrive,
elevator,n.,[美]电梯,Her job is to operate an elevator,
escalator,n.,自动扶梯、滚梯,I could never find the escalators or the door I came in,
handrail,n.,扶手、栏杆,"Where necessary for safety, in alleyways and stairs for example, handrails should be fitted",
pillar,n.,柱子、中坚、栋梁,The robber tied him to a pillar,
column,n.,柱；（书、报纸的）栏；专栏,The dome was supported by white marble columns,
beam,n.,（能量、放射线或粒子的）束；柱,The beam of the searchlights flooded the sky over the airport,
vault,n.,拱顶；金库；保险库,The walls and vaults are decorated by marble,
arch,n./v.,拱门/（使）弯成弓形,The cat arches its back when it sees the dog,
ceiling,n.,天花板、顶棚,The traditional houses in that country have very low ceilings,
eaves,n.,屋檐,"Under the eaves, I have to lower my head",
chimney,n.,烟囱,The chimney is choked up with soot and needs to be cleaned,
reception,n.,接待处,You can leave your key at reception,
lobby,n./v.,大厅；前厅；游说/游说,Please wait for me in the lobby of the hotel,
bench,n.,长凳,An old man sat on the park bench and fed the pigeons,
"parlour, parlor",n.,客厅,The parlor has been decorated delicately,
fireplace,n.,壁炉,She edged her chair closer to the fireplace,
radiator,n.,暖气设备,He tossed his coat on the chair and warmed his hands at a radiator,
living room,n.,客厅、起居室,The dining room is next to the living room,
cabinet,n.,储藏柜、内阁,She needs a cherry cabinet in her room,
balcony,n.,阳台；（剧院的）楼座,All bedrooms have private bathrooms and balconies,
terrace,n.,露天平台、大阳台,Do you want to sit at a table on the terrace,
kitchen,n.,厨房,I have to mop the kitchen floor at least once a day,
lavatory,n.,盥洗室、厕所,The use of the lavatory is suspended during takeoff,
toilet,n.,抽水马桶；[英]厕所,Every flat has its own toilet,
bath,n.,洗澡；[英]浴缸,He has a cold bath every day,
basin,n.,盆；盆地,This basin is made of iron,
reserve,n./v.,储备；自然保护区/预订,I have reserved a room for you at the hotel,
store,n./v.,商店；贮存物/贮存,"When he got into the convenience store, he saw the long lines",
mall,n.,购物中心,The local kids often hang out at the mall,
complex,n.,综合建筑群,A new sports and leisure complex will open next month,
supermarket,n.,超市,A variety of foods are sold at a supermarket,
booth,n.,售货摊；电话亭；小隔间,Would you please watch over my booth?请照料一下我的摊位号码？,
